Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters
-5.0,0.0,0.0,2479,2479,0,0,0,0
-5.0,0.0,0.1,2347,2347,0,0,0,0
-5.0,0.0,0.2,2470,2470,0,0,0,0
-5.0,0.0,0.3,2299,2299,0,0,0,0
-5.0,0.0,0.4,2171,2171,0,0,0,0
-5.0,0.0,0.5,2686,2686,0,0,0,0
-5.0,0.0,0.6,2230,2230,0,0,0,0
-5.0,0.0,0.7,2689,2689,0,0,0,0
-5.0,0.0,0.8,2356,2356,0,0,0,0
-5.0,0.0,0.9,2202,2202,0,0,0,0
-5.0,0.0,1.0,2363,2363,0,0,0,0
-5.0,3.0,0.0,2360,2360,0,0,0,0
-5.0,3.0,0.1,2826,2826,0,0,0,0
-5.0,3.0,0.2,2284,2284,0,0,0,0
-5.0,3.0,0.3,2613,2613,0,0,0,0
-5.0,3.0,0.4,2136,2136,0,0,0,0
-5.0,3.0,0.5,2276,2276,0,0,0,0
-5.0,3.0,0.6,2507,2507,0,0,0,0
-5.0,3.0,0.7,2564,2564,0,0,0,0
-5.0,3.0,0.8,2092,2092,0,0,0,0
-5.0,3.0,0.9,2367,2367,0,0,0,0
-5.0,3.0,1.0,1940,1940,0,0,0,0
-5.0,6.0,0.0,2674,2674,0,0,0,0
-5.0,6.0,0.1,2490,2490,0,0,0,0
-5.0,6.0,0.2,2406,2406,0,0,0,0
-5.0,6.0,0.3,2492,2492,0,0,0,0
-5.0,6.0,0.4,2461,2461,0,0,0,0
-5.0,6.0,0.5,2744,2744,0,0,0,0
-5.0,6.0,0.6,2243,2243,0,0,0,0
-5.0,6.0,0.7,2415,2415,0,0,0,0
-5.0,6.0,0.8,2378,2378,0,0,0,0
-5.0,6.0,0.9,2666,2666,0,0,0,0
-5.0,6.0,1.0,2479,2479,0,0,0,0
-5.0,9.0,0.0,2635,2635,0,0,0,0
-5.0,9.0,0.1,2479,2479,0,0,0,0
-5.0,9.0,0.2,2160,2160,0,0,0,0
-5.0,9.0,0.3,2303,2303,0,0,0,0
-5.0,9.0,0.4,2351,2351,0,0,0,0
-5.0,9.0,0.5,2492,2492,0,0,0,0
-5.0,9.0,0.6,2528,2528,0,0,0,0
-5.0,9.0,0.7,2253,2253,0,0,0,0
-5.0,9.0,0.8,2473,2473,0,0,0,0
-5.0,9.0,0.9,2455,2455,0,0,0,0
-5.0,9.0,1.0,2448,2448,0,0,0,0
-5.0,12.0,0.0,2905,2905,0,0,0,0
-5.0,12.0,0.1,2492,2492,0,0,0,0
-5.0,12.0,0.2,2352,2352,0,0,0,0
-5.0,12.0,0.3,2639,2639,0,1,0,0
-5.0,12.0,0.4,2373,2373,0,0,0,0
-5.0,12.0,0.5,2477,2477,0,0,0,0
-5.0,12.0,0.6,2566,2566,0,0,0,0
-5.0,12.0,0.7,2428,2428,0,0,0,0
-5.0,12.0,0.8,2364,2364,0,0,0,0
-5.0,12.0,0.9,2196,2196,0,0,0,0
-5.0,12.0,1.0,2453,2453,0,0,0,0
-5.0,15.0,0.0,2671,2671,0,1,0,0
-5.0,15.0,0.1,2767,2767,0,1,0,0
-5.0,15.0,0.2,2519,2519,0,0,0,0
-5.0,15.0,0.3,2921,2921,0,1,0,0
-5.0,15.0,0.4,2759,2759,0,0,0,0
-5.0,15.0,0.5,2778,2778,0,1,0,0
-5.0,15.0,0.6,2822,2822,0,1,0,0
-5.0,15.0,0.7,2574,2574,0,1,0,0
-5.0,15.0,0.8,2770,2770,0,1,0,0
-5.0,15.0,0.9,2594,2594,0,1,0,0
-5.0,15.0,1.0,2647,2647,0,1,0,0
-5.0,18.0,0.0,3391,3391,0,1,0,0
-5.0,18.0,0.1,2945,2945,0,1,0,0
-5.0,18.0,0.2,3144,3144,0,2,0,0
-5.0,18.0,0.3,3294,3294,0,1,0,0
-5.0,18.0,0.4,2675,2675,0,1,0,0
-5.0,18.0,0.5,3070,3070,0,1,0,0
-5.0,18.0,0.6,2874,2874,0,1,0,0
-5.0,18.0,0.7,3168,3168,0,2,0,0
-5.0,18.0,0.8,2864,2864,0,1,0,0
-5.0,18.0,0.9,3024,3024,0,1,0,0
-5.0,18.0,1.0,2837,2837,0,2,0,0
-5.0,21.0,0.0,3605,3605,0,3,0,0
-5.0,21.0,0.1,3746,3746,0,4,0,0
-5.0,21.0,0.2,3514,3514,0,3,0,0
-5.0,21.0,0.3,3724,3761,0,2,0,0
-5.0,21.0,0.4,3407,3407,0,2,0,0
-5.0,21.0,0.5,3981,3981,0,2,0,0
-5.0,21.0,0.6,3827,3827,0,2,0,0
-5.0,21.0,0.7,3554,3554,0,3,0,0
-5.0,21.0,0.8,3394,3394,0,3,0,0
-5.0,21.0,0.9,3495,3495,0,2,0,0
-5.0,21.0,1.0,3692,3692,0,3,0,0
-5.0,24.0,0.0,4757,4757,0,5,0,0
-5.0,24.0,0.1,4687,4687,0,4,0,0
-5.0,24.0,0.2,4313,4313,0,4,0,0
-5.0,24.0,0.3,4754,4754,0,4,0,0
-5.0,24.0,0.4,4331,4331,0,4,0,0
-5.0,24.0,0.5,4283,4283,0,4,0,0
-5.0,24.0,0.6,4445,4445,0,4,0,0
-5.0,24.0,0.7,4490,4490,0,3,0,0
-5.0,24.0,0.8,4267,4267,0,4,0,0
-5.0,24.0,0.9,3977,3977,0,5,0,0
-5.0,24.0,1.0,4423,4423,0,4,0,0
-5.0,27.0,0.0,5513,5513,0,7,0,0
-5.0,27.0,0.1,5131,5158,0,6,0,0
-5.0,27.0,0.2,5230,5249,0,7,0,0
-5.0,27.0,0.3,5021,5021,0,7,0,0
-5.0,27.0,0.4,4735,4735,0,6,0,0
-5.0,27.0,0.5,5598,5610,0,7,0,0
-5.0,27.0,0.6,4686,4754,0,6,0,0
-5.0,27.0,0.7,4949,4955,0,6,0,0
-5.0,27.0,0.8,4703,4703,0,6,0,0
-5.0,27.0,0.9,5057,5057,0,6,0,0
-5.0,27.0,1.0,5032,5032,0,6,0,0
-5.0,30.0,0.0,6643,6760,0,9,1,0
-5.0,30.0,0.1,6509,6630,0,10,1,0
-5.0,30.0,0.2,6725,6807,0,8,1,0
-5.0,30.0,0.3,6714,6743,0,9,1,0
-5.0,30.0,0.4,6572,6614,0,9,0,0
-5.0,30.0,0.5,6066,6168,0,8,1,0
-5.0,30.0,0.6,6095,6224,0,8,1,0
-5.0,30.0,0.7,6200,6276,0,9,1,0
-5.0,30.0,0.8,5920,6017,0,8,1,0
-5.0,30.0,0.9,5948,5989,0,8,1,0
-5.0,30.0,1.0,5696,5806,0,8,2,0
-4.0,0.0,0.0,2710,2710,0,0,0,0
-4.0,0.0,0.1,2625,2625,0,0,0,0
-4.0,0.0,0.2,2456,2456,0,0,0,0
-4.0,0.0,0.3,2579,2579,0,0,0,0
-4.0,0.0,0.4,2440,2440,0,0,0,0
-4.0,0.0,0.5,2193,2193,0,0,0,0
-4.0,0.0,0.6,2572,2572,0,0,0,0
-4.0,0.0,0.7,2512,2512,0,0,0,0
-4.0,0.0,0.8,2488,2488,0,0,0,0
-4.0,0.0,0.9,2777,2777,0,0,0,0
-4.0,0.0,1.0,2490,2490,0,0,0,0
-4.0,3.0,0.0,2855,2855,0,0,0,0
-4.0,3.0,0.1,2412,2412,0,0,0,0
-4.0,3.0,0.2,2270,2270,0,0,0,0
-4.0,3.0,0.3,2630,2630,0,0,0,0
-4.0,3.0,0.4,2220,2220,0,0,0,0
-4.0,3.0,0.5,2293,2293,0,0,0,0
-4.0,3.0,0.6,2647,2647,0,0,0,0
-4.0,3.0,0.7,2424,2424,0,0,0,0
-4.0,3.0,0.8,2325,2325,0,0,0,0
