Contact Energy,Chemotaxis Lambda,Proliferative Probability,Invasive Area,Infiltrative Area,Single Defects,Fingers,Detached Cells,Clusters,Phenotype
-5.0,0.0,0.0,2233.0,2233.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,3569.5,3569.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,2170.0,2170.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,1804.0,1804.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,2180.0,2180.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,3400.0,3400.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,1828.5,1828.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,3223.5,3223.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,2223.0,2223.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.0,2162.0,2162.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,2835.0,2835.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,2632.0,2632.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,1926.0,1926.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,1996.0,1996.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,3181.0,3181.0,0.0,1.0,0.0,0.0,Bulk invasion
-5.0,0.0,0.1,1675.0,1675.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,1520.0,1520.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,2435.0,2435.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,2220.5,2220.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.1,3050.5,3050.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2677.5,2677.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,1765.0,1765.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2561.5,2561.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2575.0,2575.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2733.0,2733.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2594.0,2594.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2321.0,2321.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2055.0,2055.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,3209.5,3209.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.2,2210.5,2210.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,2027.5,2027.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,2335.5,2335.5,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,2478.0,2478.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,2639.0,2639.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,2188.0,2188.0,0.0,0.0,0.0,0.0,No invasion
-5.0,0.0,0.3,3136.0,3136.0,0.0,1.0,0.0,0.0,Bulk invasion
-5.0,0.0,0.3,2028.0,2028.0,0.0,0.0,0.0,0.0,No invasion
