Contact Energy,Chemotaxis Lambda,Proliferative Probability,Phenotype,Probability
-5.0,0.0,0.0,No invasion,1.0
-5.0,0.0,0.1,No invasion,1.0
-5.0,0.0,0.2,No invasion,1.0
-5.0,0.0,0.3,No invasion,1.0
-5.0,0.0,0.4,No invasion,1.0
-5.0,0.0,0.5,No invasion,1.0
-5.0,0.0,0.6,No invasion,1.0
-5.0,0.0,0.7,No invasion,1.0
-5.0,0.0,0.8,No invasion,1.0
-5.0,0.0,0.9,No invasion,1.0
-5.0,0.0,1.0,No invasion,1.0
-5.0,3.0,0.0,No invasion,1.0
-5.0,3.0,0.1,No invasion,1.0
-5.0,3.0,0.2,No invasion,1.0
-5.0,3.0,0.3,No invasion,1.0
-5.0,3.0,0.4,No invasion,1.0
-5.0,3.0,0.5,No invasion,1.0
-5.0,3.0,0.6,No invasion,1.0
-5.0,3.0,0.7,No invasion,1.0
-5.0,3.0,0.8,No invasion,1.0
-5.0,3.0,0.9,No invasion,1.0
-5.0,3.0,1.0,No invasion,1.0
-5.0,6.0,0.0,No invasion,1.0
-5.0,6.0,0.1,No invasion,1.0
-5.0,6.0,0.2,No invasion,1.0
-5.0,6.0,0.3,No invasion,1.0
-5.0,6.0,0.4,No invasion,1.0
-5.0,6.0,0.5,No invasion,1.0
-5.0,6.0,0.6,No invasion,1.0
-5.0,6.0,0.7,No invasion,1.0
-5.0,6.0,0.8,No invasion,1.0
-5.0,6.0,0.9,No invasion,1.0
-5.0,6.0,1.0,No invasion,1.0
-5.0,9.0,0.0,No invasion,1.0
-5.0,9.0,0.1,Bulk invasion,0.1
-5.0,9.0,0.1,No invasion,0.9
-5.0,9.0,0.2,No invasion,1.0
-5.0,9.0,0.3,No invasion,1.0
-5.0,9.0,0.4,No invasion,1.0
-5.0,9.0,0.5,No invasion,1.0
-5.0,9.0,0.6,No invasion,1.0
-5.0,9.0,0.7,No invasion,1.0
-5.0,9.0,0.8,No invasion,1.0
-5.0,9.0,0.9,No invasion,1.0
-5.0,9.0,1.0,No invasion,1.0
-5.0,12.0,0.0,Bulk invasion,0.2
-5.0,12.0,0.0,No invasion,0.8
-5.0,12.0,0.1,Bulk invasion,0.1
-5.0,12.0,0.1,No invasion,0.9
-5.0,12.0,0.2,No invasion,1.0
-5.0,12.0,0.3,No invasion,1.0
-5.0,12.0,0.4,Bulk invasion,0.1
-5.0,12.0,0.4,No invasion,0.9
-5.0,12.0,0.5,Bulk invasion,0.1
-5.0,12.0,0.5,No invasion,0.9
-5.0,12.0,0.6,No invasion,1.0
-5.0,12.0,0.7,Bulk invasion,0.1
-5.0,12.0,0.7,No invasion,0.9
-5.0,12.0,0.8,Bulk invasion,0.1
-5.0,12.0,0.8,No invasion,0.9
-5.0,12.0,0.9,No invasion,1.0
-5.0,12.0,1.0,No invasion,1.0
-5.0,15.0,0.0,Bulk invasion,0.1
-5.0,15.0,0.0,No invasion,0.9
-5.0,15.0,0.1,Bulk invasion,0.2
-5.0,15.0,0.1,No invasion,0.8
-5.0,15.0,0.2,Bulk invasion,0.1
-5.0,15.0,0.2,No invasion,0.9
-5.0,15.0,0.3,Bulk invasion,0.1
-5.0,15.0,0.3,No invasion,0.9
-5.0,15.0,0.4,Bulk invasion,0.1
-5.0,15.0,0.4,No invasion,0.9
-5.0,15.0,0.5,Bulk invasion,0.2
-5.0,15.0,0.5,No invasion,0.8
-5.0,15.0,0.6,Bulk invasion,0.2
-5.0,15.0,0.6,No invasion,0.8
-5.0,15.0,0.7,Bulk invasion,0.2
-5.0,15.0,0.7,No invasion,0.8
-5.0,15.0,0.8,Bulk invasion,0.1
-5.0,15.0,0.8,No invasion,0.9
-5.0,15.0,0.9,Bulk invasion,0.1
-5.0,15.0,0.9,No invasion,0.9
-5.0,15.0,1.0,Bulk invasion,0.1
-5.0,15.0,1.0,No invasion,0.9
-5.0,18.0,0.0,Bulk invasion,0.3
-5.0,18.0,0.0,No invasion,0.7
-5.0,18.0,0.1,Bulk invasion,0.2
-5.0,18.0,0.1,No invasion,0.8
-5.0,18.0,0.2,Bulk invasion,0.6
-5.0,18.0,0.2,No invasion,0.4
-5.0,18.0,0.3,Bulk invasion,0.3
-5.0,18.0,0.3,No invasion,0.7
-5.0,18.0,0.4,Bulk invasion,0.4
-5.0,18.0,0.4,No invasion,0.6
-5.0,18.0,0.5,Bulk invasion,0.2
-5.0,18.0,0.5,No invasion,0.8
-5.0,18.0,0.6,Bulk invasion,0.3
-5.0,18.0,0.6,No invasion,0.7
-5.0,18.0,0.7,Bulk invasion,0.5
-5.0,18.0,0.7,No invasion,0.5
-5.0,18.0,0.8,Bulk invasion,0.2
-5.0,18.0,0.8,No invasion,0.8
-5.0,18.0,0.9,Bulk invasion,0.3
-5.0,18.0,0.9,No invasion,0.7
-5.0,18.0,1.0,Bulk invasion,0.5
-5.0,18.0,1.0,No invasion,0.5
-5.0,21.0,0.0,Bulk invasion,1.0
-5.0,21.0,0.1,Bulk invasion,0.8
-5.0,21.0,0.1,No invasion,0.2
-5.0,21.0,0.2,Bulk invasion,0.8
-5.0,21.0,0.2,No invasion,0.2
-5.0,21.0,0.3,Bulk invasion,0.6
-5.0,21.0,0.3,Multimodal invasion,0.1
-5.0,21.0,0.3,No invasion,0.3
-5.0,21.0,0.4,Bulk invasion,0.7
-5.0,21.0,0.4,No invasion,0.3
-5.0,21.0,0.5,Bulk invasion,0.8
-5.0,21.0,0.5,No invasion,0.2
-5.0,21.0,0.6,Bulk invasion,0.9
-5.0,21.0,0.6,No invasion,0.1
-5.0,21.0,0.7,Bulk invasion,0.9
-5.0,21.0,0.7,No invasion,0.1
-5.0,21.0,0.8,Bulk invasion,1.0
-5.0,21.0,0.9,Bulk invasion,0.7
-5.0,21.0,0.9,No invasion,0.3
-5.0,21.0,1.0,Bulk invasion,0.7
-5.0,21.0,1.0,No invasion,0.3
-5.0,24.0,0.0,Bulk invasion,1.0
-5.0,24.0,0.1,Bulk invasion,1.0
-5.0,24.0,0.2,Bulk invasion,1.0
-5.0,24.0,0.3,Bulk invasion,1.0
