X,Main_Tumor,Outermost,Lowesr_boundary_point
0,56,56,41
1,58,58,41
2,58,58,41
3,59,59,41
4,60,60,41
5,60,60,41
6,61,61,41
7,64,64,41
8,64,64,41
9,67,67,41
10,65,65,41
11,64,64,41
12,63,63,41
13,62,62,41
14,57,57,41
15,55,55,41
16,54,54,41
17,53,53,41
18,53,53,41
19,52,52,41
20,52,52,41
21,52,52,41
22,51,51,41
23,51,51,41
24,51,51,41
25,64,64,41
26,61,61,41
27,61,61,41
28,61,61,41
29,61,61,41
30,62,62,41
31,63,63,41
32,64,64,41
33,64,64,41
34,64,64,41
35,63,63,41
36,63,63,41
37,63,63,41
38,63,63,41
39,61,61,41
40,62,62,41
41,61,61,41
42,59,59,41
43,59,59,41
44,59,59,41
45,59,59,41
46,59,59,41
47,57,57,41
48,48,48,41
49,48,48,41
50,47,47,41
51,46,46,41
52,47,47,41
53,47,47,41
54,47,47,41
55,47,47,41
56,48,48,41
57,50,50,41
58,57,57,41
59,56,56,41
60,56,56,41
61,57,57,41
62,57,57,41
63,57,57,41
64,57,57,41
65,57,57,41
66,64,64,41
67,66,66,41
68,67,67,41
69,66,66,41
70,66,66,41
71,66,66,41
72,58,58,41
73,53,53,41
74,52,52,41
75,51,51,41
76,50,50,41
77,50,50,41
78,49,49,41
79,49,49,41
80,48,48,41
81,48,48,41
82,47,47,41
83,47,47,41
84,47,47,41
85,48,48,41
86,48,48,41
87,49,49,41
88,49,49,41
89,49,49,41
90,51,51,41
91,52,52,41
92,52,52,41
93,53,53,41
94,53,53,41
95,52,52,41
96,52,52,41
97,51,51,41
98,51,51,41
99,49,49,41
100,49,49,41
101,48,48,41
102,48,48,41
103,48,48,41
104,49,49,41
105,50,50,41
106,60,60,41
107,63,63,41
108,63,63,41
109,63,63,41
110,63,63,41
111,63,63,41
112,62,62,41
113,53,53,41
114,53,53,41
115,52,52,41
116,52,52,41
117,53,53,41
118,51,51,41
119,51,51,41
120,51,51,41
121,50,50,41
122,49,49,41
123,46,46,41
124,46,46,41
125,45,45,41
126,45,45,41
127,46,46,41
128,45,45,41
129,45,45,41
130,44,44,41
131,44,44,41
132,44,44,41
133,44,44,41
134,44,44,41
135,44,44,41
136,45,45,41
137,45,45,41
138,45,45,41
139,45,45,41
140,46,46,41
141,47,47,41
142,48,48,41
143,48,48,41
144,48,48,41
145,49,49,41
146,51,51,41
147,53,53,41
148,55,55,41
149,57,57,41
150,58,58,41
151,58,58,41
152,60,60,41
153,60,60,41
154,59,59,41
155,61,61,41
156,62,62,41
157,62,62,41
158,65,65,41
159,65,65,41
160,64,64,41
161,65,65,41
162,65,65,41
163,64,64,41
164,66,66,41
165,65,65,41
166,65,65,41
167,64,64,41
168,53,53,41
169,53,53,41
170,53,53,41
171,53,53,41
172,54,54,41
173,53,53,41
174,53,53,41
175,54,54,41
176,54,54,41
177,55,55,41
178,55,55,41
179,55,55,41
180,55,55,41
181,55,55,41
182,54,54,41
183,54,54,41
184,54,54,41
185,53,53,41
186,51,51,41
187,51,51,41
188,51,51,41
189,51,51,41
190,52,52,41
191,52,52,41
192,51,51,41
193,59,59,41
194,59,59,41
195,60,60,41
196,72,72,41
197,71,71,41
198,71,71,41
199,73,73,41
200,73,73,41
201,72,72,41
202,72,72,41
203,71,71,41
204,47,47,41
205,46,46,41
206,45,45,41
207,45,45,41
208,45,45,41
209,45,45,41
210,44,44,41
211,43,43,41
212,43,43,41
213,43,43,41
214,43,43,41
215,42,42,41
216,51,51,41
217,54,54,41
218,53,53,41
219,54,54,41
220,54,54,41
221,55,55,41
222,55,55,41
223,55,55,41
224,55,55,41
225,55,55,41
226,56,56,41
227,56,56,41
228,59,59,41
229,62,62,41
230,66,66,41
231,66,66,41
232,66,66,41
233,66,66,41
234,64,64,41
235,59,59,41
236,53,53,41
237,53,53,41
238,54,54,41
239,53,53,41
240,51,51,41
241,52,52,41
242,51,51,41
243,52,52,41
244,53,53,41
245,53,53,41
246,53,53,41
247,54,54,41
248,55,55,41
249,54,54,41
250,54,54,41
251,55,55,41
252,54,54,41
253,55,55,41
254,54,54,41
255,68,68,41
256,70,70,41
257,70,70,41
258,70,70,41
259,70,70,41
260,70,70,41
261,70,70,41
262,71,71,41
263,71,71,41
264,70,70,41
265,70,70,41
266,69,69,41
267,70,70,41
268,70,70,41
269,70,70,41
270,70,70,41
271,58,58,41
272,57,57,41
273,47,47,41
274,47,47,41
275,47,47,41
276,47,47,41
277,48,48,41
278,48,48,41
279,49,49,41
280,51,51,41
281,54,54,41
282,54,54,41
283,53,53,41
284,53,53,41
285,52,52,41
286,49,49,41
287,48,48,41
288,46,46,41
289,45,45,41
290,44,44,41
291,44,44,41
292,44,44,41
293,45,45,41
294,45,45,41
295,45,45,41
296,46,46,41
297,46,46,41
298,46,46,41
299,47,47,41
300,47,47,41
301,46,46,41
302,46,46,41
303,46,46,41
304,47,47,41
305,46,46,41
306,46,46,41
307,46,46,41
308,46,46,41
309,46,46,41
310,44,44,41
311,43,43,41
312,43,43,41
313,43,43,41
314,43,43,41
315,43,43,41
316,44,44,41
317,44,44,41
318,43,43,41
319,43,43,41
320,43,43,41
321,42,42,41
322,42,42,41
323,42,42,41
324,42,42,41
325,42,42,41
326,41,41,41
327,41,41,41
328,41,41,41
329,42,42,41
330,43,43,41
331,43,43,41
332,44,44,41
333,45,45,41
334,48,48,41
335,48,48,41
336,48,48,41
337,50,50,41
338,52,52,41
339,53,53,41
340,54,54,41
341,55,55,41
342,56,56,41
343,56,56,41
344,54,54,41
345,55,55,41
346,54,54,41
347,53,53,41
348,52,52,41
349,52,52,41
350,51,51,41
351,51,51,41
352,52,52,41
353,58,58,41
354,59,59,41
355,62,62,41
356,61,61,41
357,61,61,41
358,60,60,41
359,61,61,41
360,60,60,41
361,61,61,41
362,60,60,41
363,58,58,41
364,50,50,41
365,50,50,41
366,50,50,41
367,50,50,41
368,51,51,41
369,51,51,41
370,52,52,41
371,52,52,41
372,55,55,41
373,56,56,41
374,56,56,41
375,56,56,41
376,56,56,41
377,56,56,41
378,56,56,41
379,55,55,41
380,54,54,41
381,55,55,41
382,55,55,41
383,57,57,41
384,57,57,41
385,57,57,41
386,58,58,41
387,59,59,41
388,60,60,41
389,61,61,41
390,70,70,41
391,70,70,41
392,70,70,41
393,69,69,41
394,69,69,41
395,68,68,41
396,67,67,41
397,67,67,41
398,65,65,41
399,50,50,41
400,49,49,41
401,49,49,41
402,47,47,41
403,47,47,41
404,47,47,41
405,47,47,41
406,48,48,41
407,48,48,41
408,48,48,41
409,49,49,41
410,49,49,41
411,77,77,41
412,77,77,41
413,79,79,41
414,79,79,41
415,79,79,41
416,78,78,41
417,68,68,41
418,67,67,41
419,66,66,41
420,61,61,41
421,62,62,41
422,62,62,41
423,62,62,41
424,61,61,41
425,62,62,41
426,63,63,41
427,61,61,41
428,61,61,41
429,61,61,41
430,57,57,41
431,57,57,41
432,56,56,41
433,55,55,41
434,53,53,41
435,53,53,41
436,54,54,41
437,54,54,41
438,52,52,41
439,50,50,41
440,49,49,41
441,50,50,41
442,51,51,41
443,51,51,41
444,52,52,41
445,52,52,41
446,69,69,41
447,69,69,41
448,69,69,41
449,69,69,41
450,69,69,41
451,69,69,41
452,68,68,41
453,68,68,41
454,52,52,41
455,51,51,41
456,48,48,41
457,47,47,41
458,45,45,41
459,44,44,41
460,43,43,41
461,43,43,41
462,44,44,41
463,44,44,41
464,44,44,41
465,43,43,41
466,43,43,41
467,44,44,41
468,44,44,41
469,45,45,41
470,45,45,41
471,45,45,41
472,46,46,41
473,47,47,41
474,49,49,41
475,50,50,41
476,51,51,41
477,52,52,41
478,53,53,41
479,54,54,41
480,55,55,41
481,57,57,41
482,57,57,41
483,57,57,41
484,57,57,41
485,57,57,41
486,57,57,41
487,54,54,41
488,54,54,41
489,54,54,41
490,53,53,41
491,53,53,41
492,53,53,41
493,53,53,41
494,52,52,41
495,52,52,41
496,55,55,41
497,53,53,41
498,54,54,41
499,55,55,41
