X,Main_Tumor,Outermost,Lowesr_boundary_point
0,40,63,30
1,40,137,30
2,41,137,30
3,42,135,30
4,41,135,30
5,43,43,30
6,43,139,30
7,44,139,30
8,45,139,30
9,46,137,30
10,47,47,30
11,48,48,30
12,48,124,30
13,47,126,30
14,47,126,30
15,47,99,30
16,47,91,30
17,46,93,30
18,45,102,30
19,45,102,30
20,80,100,30
21,80,89,30
22,80,80,30
23,80,80,30
24,79,79,30
25,81,81,30
26,82,132,30
27,81,131,30
28,82,131,30
29,81,133,30
30,78,132,30
31,79,110,30
32,81,138,30
33,73,138,30
34,82,138,30
35,82,138,30
36,81,92,30
37,81,92,30
38,79,112,30
39,82,112,30
40,86,114,30
41,87,159,30
42,87,159,30
43,81,158,30
44,75,84,30
45,75,84,30
46,74,84,30
47,74,84,30
48,59,126,30
49,59,129,30
50,59,127,30
51,60,127,30
52,55,127,30
53,54,126,30
54,54,54,30
55,53,125,30
56,53,124,30
57,52,124,30
58,52,124,30
59,52,121,30
60,52,124,30
61,50,124,30
62,48,143,30
63,48,143,30
64,47,146,30
65,47,145,30
66,48,145,30
67,47,111,30
68,47,110,30
69,47,146,30
70,46,146,30
71,47,109,30
72,47,121,30
73,47,121,30
74,46,131,30
75,46,132,30
76,46,131,30
77,46,132,30
78,46,132,30
79,46,112,30
80,46,112,30
81,46,111,30
82,47,110,30
83,48,115,30
84,49,116,30
85,58,116,30
86,72,116,30
87,72,117,30
88,72,127,30
89,77,128,30
90,76,129,30
91,76,131,30
92,74,132,30
93,73,124,30
94,74,125,30
95,72,126,30
96,76,151,30
97,75,151,30
98,75,151,30
99,50,151,30
100,50,128,30
101,49,126,30
102,49,106,30
103,48,136,30
104,48,136,30
105,47,136,30
106,46,127,30
107,45,129,30
108,46,128,30
109,47,126,30
110,47,134,30
111,47,132,30
112,47,132,30
113,47,133,30
114,62,101,30
115,63,89,30
116,64,128,30
117,67,129,30
118,66,129,30
119,66,128,30
120,70,128,30
121,70,121,30
122,70,124,30
123,70,118,30
124,71,124,30
125,71,125,30
126,74,141,30
127,74,141,30
128,75,142,30
129,76,142,30
130,76,128,30
131,66,127,30
132,50,126,30
133,47,126,30
134,46,126,30
135,45,112,30
136,44,127,30
137,42,150,30
138,41,152,30
139,41,152,30
140,41,150,30
141,40,40,30
142,40,109,30
143,39,110,30
144,38,109,30
145,38,110,30
146,37,37,30
147,37,102,30
148,37,103,30
149,37,119,30
150,37,118,30
151,37,136,30
152,37,139,30
153,39,145,30
154,39,145,30
155,60,144,30
156,61,144,30
157,62,123,30
158,66,123,30
159,67,123,30
160,74,124,30
161,74,120,30
162,73,92,30
163,75,127,30
164,74,126,30
165,78,148,30
166,76,148,30
167,74,146,30
168,74,145,30
169,74,107,30
170,66,66,30
171,67,67,30
172,69,69,30
173,76,76,30
174,72,72,30
175,72,72,30
176,70,109,30
177,69,109,30
178,66,111,30
179,51,95,30
180,49,142,30
181,48,150,30
182,48,148,30
183,46,148,30
184,45,148,30
185,43,148,30
186,43,43,30
187,42,120,30
188,42,121,30
189,41,120,30
190,41,134,30
191,39,135,30
192,39,135,30
193,39,103,30
194,39,104,30
195,39,121,30
196,39,121,30
197,39,121,30
198,40,138,30
199,40,138,30
200,41,137,30
201,61,137,30
202,61,137,30
203,60,105,30
204,60,104,30
205,60,98,30
206,61,128,30
207,63,129,30
208,63,130,30
209,64,130,30
210,64,131,30
211,67,85,30
212,66,84,30
213,65,65,30
214,63,104,30
215,63,106,30
216,67,138,30
217,64,139,30
218,64,140,30
219,58,140,30
220,59,77,30
221,59,59,30
222,59,119,30
223,59,145,30
224,59,145,30
225,55,146,30
226,55,145,30
227,56,145,30
228,57,127,30
229,59,134,30
230,55,135,30
231,54,142,30
232,50,141,30
233,50,141,30
234,51,113,30
235,51,113,30
236,53,131,30
237,53,139,30
238,54,138,30
239,52,139,30
240,51,139,30
241,51,139,30
242,54,115,30
243,56,115,30
244,57,92,30
245,59,92,30
246,60,103,30
247,59,130,30
248,59,128,30
249,59,133,30
250,59,133,30
251,58,131,30
252,38,130,30
253,38,38,30
254,38,38,30
255,38,38,30
256,37,37,30
257,38,38,30
258,39,39,30
259,40,40,30
260,40,40,30
261,41,41,30
262,42,42,30
263,43,43,30
264,45,45,30
265,46,46,30
266,47,47,30
267,48,144,30
