X,Main_Tumor,Outermost,Lowesr_boundary_point
0,42,42,34
1,41,41,34
2,40,40,34
3,40,40,34
4,40,40,34
5,40,40,34
6,40,40,34
7,40,40,34
8,41,41,34
9,41,41,34
10,42,42,34
11,41,41,34
12,41,41,34
13,41,41,34
14,40,40,34
15,41,41,34
16,40,40,34
17,40,40,34
18,40,40,34
19,39,39,34
20,39,39,34
21,39,39,34
22,40,40,34
23,40,40,34
24,41,41,34
25,41,41,34
26,41,41,34
27,41,41,34
28,40,40,34
29,40,40,34
30,40,40,34
31,40,40,34
32,40,40,34
33,41,41,34
34,41,41,34
35,40,40,34
36,40,40,34
37,40,40,34
38,38,38,34
39,37,37,34
40,35,35,34
41,35,35,34
42,34,34,34
43,34,34,34
44,36,36,34
45,37,37,34
46,38,38,34
47,38,38,34
48,39,39,34
49,40,40,34
50,40,40,34
51,41,41,34
52,41,41,34
53,42,42,34
54,43,43,34
55,44,44,34
56,44,44,34
57,44,44,34
58,43,43,34
59,42,42,34
60,42,42,34
61,42,42,34
62,42,42,34
63,41,41,34
64,40,40,34
65,41,41,34
66,42,42,34
67,41,41,34
68,40,40,34
69,41,41,34
70,41,41,34
71,41,41,34
72,41,41,34
73,41,41,34
74,42,42,34
75,42,42,34
76,41,41,34
77,41,41,34
78,41,41,34
79,41,41,34
80,41,41,34
81,42,42,34
82,42,42,34
83,41,41,34
84,41,41,34
85,40,40,34
86,41,41,34
87,41,41,34
88,42,42,34
89,42,42,34
90,42,42,34
91,42,42,34
92,41,41,34
93,42,42,34
94,42,42,34
95,42,42,34
96,42,42,34
97,42,42,34
98,43,43,34
99,42,42,34
100,41,41,34
101,41,41,34
102,40,40,34
103,40,40,34
104,39,39,34
105,39,39,34
106,39,39,34
107,38,38,34
108,37,37,34
109,37,37,34
110,38,38,34
111,38,38,34
112,38,38,34
113,39,39,34
114,40,40,34
115,40,40,34
116,40,40,34
117,40,40,34
118,40,40,34
119,40,40,34
120,40,40,34
121,40,40,34
122,41,41,34
123,41,41,34
124,42,42,34
125,42,42,34
126,42,42,34
127,42,42,34
128,43,43,34
129,43,43,34
130,43,43,34
131,42,42,34
132,41,41,34
133,42,42,34
134,42,42,34
135,43,43,34
136,43,43,34
137,43,43,34
138,42,42,34
139,42,42,34
140,42,42,34
141,42,42,34
142,41,41,34
143,41,41,34
144,40,40,34
145,40,40,34
146,40,40,34
147,41,41,34
148,41,41,34
149,42,42,34
150,42,42,34
151,42,42,34
152,42,42,34
153,42,42,34
154,43,43,34
155,42,42,34
156,41,41,34
157,41,41,34
158,42,42,34
159,43,43,34
160,42,42,34
161,42,42,34
162,42,42,34
163,41,41,34
164,41,41,34
165,41,41,34
166,41,41,34
167,40,40,34
168,40,40,34
169,40,40,34
170,41,41,34
171,41,41,34
172,41,41,34
173,41,41,34
174,41,41,34
175,41,41,34
176,41,41,34
177,40,40,34
178,39,39,34
179,39,39,34
180,39,39,34
181,39,39,34
182,39,39,34
183,39,39,34
184,39,39,34
185,39,39,34
186,39,39,34
187,41,41,34
188,40,40,34
189,39,39,34
190,39,39,34
191,39,39,34
192,39,39,34
193,39,39,34
194,38,38,34
195,40,40,34
196,41,41,34
197,42,42,34
198,42,42,34
199,43,43,34
200,43,43,34
201,43,43,34
202,43,43,34
203,43,43,34
204,43,43,34
205,43,43,34
206,43,43,34
207,43,43,34
208,42,42,34
209,42,42,34
210,42,42,34
211,41,41,34
212,42,42,34
213,42,42,34
214,42,42,34
215,42,42,34
216,42,42,34
217,42,42,34
218,41,41,34
219,40,40,34
220,41,41,34
221,41,41,34
222,41,41,34
223,41,41,34
224,40,40,34
225,40,40,34
226,40,40,34
227,40,40,34
228,40,40,34
229,40,40,34
230,40,40,34
231,39,39,34
232,39,39,34
233,39,39,34
234,39,39,34
235,39,39,34
236,39,39,34
237,39,39,34
238,39,39,34
239,39,39,34
240,39,39,34
241,39,39,34
242,38,38,34
243,38,38,34
244,38,38,34
245,38,38,34
246,38,38,34
247,38,38,34
248,37,37,34
249,36,36,34
250,36,36,34
251,36,36,34
252,36,36,34
253,37,37,34
254,38,38,34
255,38,38,34
256,38,38,34
257,39,39,34
258,39,39,34
259,40,40,34
260,41,41,34
261,41,41,34
262,40,40,34
263,40,40,34
264,42,42,34
265,42,42,34
266,42,42,34
267,43,43,34
268,43,43,34
269,43,43,34
270,41,41,34
271,41,41,34
272,39,39,34
273,39,39,34
274,39,39,34
275,39,39,34
276,39,39,34
277,39,39,34
278,39,39,34
279,40,40,34
280,41,41,34
281,41,41,34
282,41,41,34
283,42,42,34
284,42,42,34
285,42,42,34
286,42,42,34
287,42,42,34
288,42,42,34
289,43,43,34
290,43,43,34
291,43,43,34
292,43,43,34
293,43,43,34
294,43,43,34
295,43,43,34
296,43,43,34
297,42,42,34
298,41,41,34
299,41,41,34
300,40,40,34
301,39,39,34
302,39,39,34
303,38,38,34
304,38,38,34
305,38,38,34
306,38,38,34
307,38,38,34
308,38,38,34
309,38,38,34
310,38,38,34
311,38,38,34
312,38,38,34
