MCS,Leader Cells,Follower Cells,Total
0,390,1169,1559
1,390,1169,1559
2,390,1169,1559
3,390,1169,1559
4,390,1169,1559
5,390,1169,1559
6,390,1169,1559
7,390,1169,1559
8,390,1169,1559
9,390,1169,1559
10,390,1169,1559
11,390,1169,1559
12,390,1169,1559
13,390,1169,1559
14,390,1169,1559
15,390,1169,1559
16,390,1169,1559
17,390,1169,1559
18,390,1169,1559
19,390,1169,1559
20,390,1169,1559
21,390,1169,1559
22,390,1169,1559
23,390,1169,1559
24,390,1169,1559
25,390,1169,1559
26,390,1169,1559
27,390,1169,1559
28,390,1169,1559
29,390,1169,1559
30,390,1169,1559
31,390,1169,1559
32,390,1169,1559
33,390,1169,1559
34,390,1169,1559
35,390,1169,1559
36,390,1169,1559
37,390,1169,1559
38,390,1169,1559
39,390,1169,1559
40,390,1169,1559
41,390,1169,1559
42,390,1169,1559
43,390,1169,1559
44,390,1169,1559
45,390,1169,1559
46,390,1169,1559
47,390,1169,1559
48,390,1169,1559
49,390,1169,1559
50,390,1169,1559
51,390,1169,1559
52,390,1169,1559
53,390,1169,1559
54,390,1169,1559
55,390,1169,1559
56,390,1169,1559
57,390,1169,1559
58,390,1169,1559
59,390,1169,1559
60,390,1169,1559
61,390,1169,1559
62,390,1169,1559
63,390,1169,1559
64,390,1169,1559
65,390,1169,1559
66,390,1169,1559
67,390,1169,1559
68,390,1169,1559
69,390,1169,1559
70,390,1169,1559
71,390,1169,1559
72,390,1169,1559
73,390,1169,1559
74,390,1169,1559
75,390,1169,1559
76,390,1169,1559
77,390,1169,1559
78,390,1169,1559
79,390,1169,1559
80,390,1169,1559
81,390,1169,1559
82,390,1169,1559
83,390,1169,1559
84,390,1169,1559
85,390,1169,1559
86,390,1169,1559
87,390,1169,1559
88,390,1169,1559
89,390,1169,1559
90,390,1169,1559
91,390,1169,1559
92,390,1169,1559
93,390,1169,1559
94,390,1169,1559
95,390,1169,1559
96,390,1169,1559
97,390,1169,1559
98,390,1169,1559
99,390,1169,1559
100,390,1169,1559
101,390,1169,1559
102,390,1169,1559
103,390,1169,1559
104,390,1169,1559
105,390,1169,1559
106,390,1169,1559
107,390,1169,1559
108,390,1169,1559
109,390,1169,1559
110,390,1169,1559
111,390,1169,1559
112,390,1169,1559
113,390,1169,1559
114,390,1169,1559
115,390,1169,1559
116,390,1169,1559
117,390,1169,1559
118,390,1169,1559
119,390,1169,1559
120,390,1169,1559
121,390,1169,1559
122,390,1169,1559
123,390,1169,1559
124,390,1169,1559
125,390,1169,1559
126,390,1169,1559
127,390,1169,1559
128,390,1169,1559
129,390,1169,1559
130,390,1169,1559
131,390,1169,1559
132,390,1169,1559
