X,Main_Tumor,Outermost,Lowesr_boundary_point
0,38,136,36
1,37,130,36
2,37,37,36
3,36,36,36
4,36,36,36
5,36,36,36
6,36,36,36
7,36,112,36
8,36,112,36
9,37,121,36
10,38,121,36
11,38,133,36
12,38,133,36
13,38,132,36
14,37,131,36
15,37,118,36
16,37,118,36
17,37,37,36
18,37,37,36
19,38,38,36
20,38,38,36
21,39,39,36
22,39,39,36
23,40,123,36
24,40,124,36
25,40,124,36
26,40,123,36
27,39,139,36
28,39,138,36
29,39,141,36
30,39,140,36
31,39,122,36
32,40,160,36
33,40,159,36
34,40,160,36
35,40,158,36
36,40,159,36
37,40,135,36
38,40,133,36
39,40,133,36
40,40,132,36
41,40,108,36
42,40,108,36
43,40,108,36
44,41,154,36
45,42,153,36
46,44,153,36
47,44,151,36
48,44,114,36
49,43,135,36
50,43,136,36
51,43,146,36
52,43,146,36
53,42,125,36
54,41,131,36
55,41,132,36
56,41,131,36
57,40,128,36
58,40,145,36
59,40,146,36
60,39,149,36
61,38,146,36
62,38,117,36
63,37,132,36
64,37,132,36
65,37,131,36
66,37,132,36
67,37,131,36
68,37,60,36
69,37,37,36
70,38,137,36
71,38,149,36
72,38,149,36
73,37,147,36
74,37,130,36
75,37,131,36
76,38,129,36
77,38,131,36
78,38,38,36
79,39,39,36
80,39,39,36
81,40,114,36
82,40,114,36
83,39,149,36
84,39,149,36
85,39,147,36
86,39,142,36
87,38,140,36
88,38,139,36
89,38,38,36
90,38,144,36
91,39,144,36
92,39,144,36
93,39,145,36
94,39,143,36
95,39,137,36
96,39,137,36
97,39,128,36
98,40,129,36
99,40,128,36
100,40,128,36
101,41,124,36
102,40,123,36
103,39,123,36
104,39,112,36
105,39,39,36
106,39,112,36
107,38,154,36
108,38,154,36
109,38,155,36
110,39,39,36
111,39,39,36
112,39,138,36
113,39,137,36
114,40,137,36
115,40,144,36
116,40,160,36
117,40,160,36
118,40,161,36
119,40,159,36
120,40,140,36
121,40,140,36
122,41,139,36
123,41,145,36
124,41,145,36
125,42,146,36
126,42,146,36
127,45,146,36
128,46,137,36
129,48,141,36
130,42,141,36
131,42,150,36
132,42,151,36
133,41,150,36
134,40,40,36
135,40,40,36
136,40,140,36
137,40,139,36
138,40,139,36
139,40,123,36
140,39,123,36
141,39,129,36
142,39,129,36
143,39,146,36
144,39,150,36
145,38,148,36
146,37,117,36
147,37,117,36
148,36,149,36
149,36,150,36
150,37,146,36
151,37,46,36
152,37,44,36
153,37,44,36
154,37,66,36
155,37,67,36
156,38,127,36
157,37,127,36
158,37,126,36
159,37,37,36
160,37,37,36
161,37,122,36
162,41,122,36
163,41,123,36
164,41,123,36
165,39,122,36
166,37,123,36
167,38,107,36
168,39,52,36
169,39,53,36
170,39,39,36
171,39,39,36
172,39,39,36
173,38,139,36
174,38,139,36
175,38,139,36
176,38,112,36
177,38,112,36
178,38,105,36
179,37,103,36
180,36,84,36
181,36,83,36
182,36,36,36
183,36,36,36
184,36,127,36
185,38,147,36
186,39,149,36
187,39,149,36
188,38,149,36
189,38,142,36
190,38,140,36
191,38,139,36
192,38,139,36
193,38,138,36
194,38,138,36
195,40,138,36
196,40,139,36
197,40,120,36
198,40,131,36
199,40,130,36
200,39,131,36
201,39,131,36
202,39,131,36
203,39,155,36
204,39,155,36
205,40,154,36
206,40,40,36
207,40,136,36
208,40,136,36
209,40,136,36
210,41,144,36
211,41,145,36
212,41,146,36
213,40,146,36
214,40,136,36
215,40,136,36
216,40,129,36
217,41,108,36
218,42,107,36
219,42,107,36
220,41,143,36
221,41,144,36
222,41,144,36
223,41,142,36
224,39,142,36
225,39,126,36
226,39,113,36
227,40,114,36
228,40,139,36
229,40,139,36
230,40,138,36
231,40,135,36
232,40,141,36
233,40,140,36
234,39,138,36
235,37,137,36
236,37,144,36
237,37,145,36
238,37,139,36
239,38,131,36
240,38,131,36
241,37,123,36
242,37,125,36
243,37,146,36
244,37,146,36
245,38,146,36
246,38,139,36
247,38,139,36
248,39,139,36
249,39,138,36
250,39,127,36
251,39,128,36
252,39,127,36
253,38,132,36
254,38,131,36
255,38,131,36
256,39,131,36
257,39,131,36
258,39,121,36
259,40,121,36
260,40,130,36
261,41,130,36
262,42,130,36
263,42,129,36
264,43,128,36
265,42,108,36
266,42,108,36
267,42,133,36
268,42,153,36
269,42,152,36
270,42,144,36
271,42,144,36
272,42,144,36
273,41,111,36
274,41,110,36
275,41,110,36
276,41,170,36
277,40,169,36
278,39,166,36
279,39,166,36
280,39,120,36
281,40,155,36
282,40,155,36
283,40,154,36
284,40,154,36
285,40,97,36
286,39,135,36
287,39,136,36
288,39,135,36
289,39,134,36
290,39,155,36
291,40,155,36
292,39,156,36
293,39,155,36
294,39,151,36
295,39,151,36
296,39,152,36
297,39,151,36
298,39,150,36
299,39,39,36
300,37,37,36
301,37,138,36
302,37,139,36
303,37,139,36
304,37,135,36
305,37,115,36
306,37,116,36
307,37,116,36
308,37,130,36
309,38,137,36
310,38,138,36
311,38,138,36
312,39,142,36
313,39,141,36
314,39,39,36
315,39,129,36
316,39,129,36
317,38,129,36
318,38,129,36
319,38,130,36
320,38,125,36
321,38,124,36
322,38,141,36
323,39,141,36
324,39,142,36
325,39,142,36
326,39,142,36
327,38,143,36
328,38,141,36
329,38,124,36
330,38,125,36
331,38,136,36
332,39,136,36
333,39,136,36
334,38,122,36
335,38,122,36
336,37,37,36
337,38,38,36
338,38,38,36
339,38,159,36
340,38,160,36
341,37,160,36
342,37,159,36
343,36,159,36
344,36,149,36
345,36,116,36
346,36,36,36
347,36,36,36
348,36,134,36
349,36,134,36
350,36,134,36
351,36,132,36
352,37,132,36
353,37,153,36
354,37,154,36
355,37,37,36
356,37,37,36
357,38,118,36
358,39,140,36
359,39,143,36
360,39,149,36
361,42,151,36
362,42,149,36
363,41,136,36
364,38,135,36
365,38,133,36
366,38,95,36
367,39,157,36
368,40,157,36
369,40,95,36
370,40,40,36
371,42,108,36
372,42,109,36
373,42,108,36
374,41,122,36
375,41,146,36
376,41,146,36
377,41,146,36
378,41,145,36
379,42,145,36
380,42,145,36
381,42,143,36
382,42,143,36
383,43,142,36
384,43,127,36
385,43,131,36
386,42,131,36
387,42,133,36
388,43,132,36
389,44,136,36
390,44,136,36
391,43,136,36
392,43,135,36
393,43,143,36
394,43,143,36
395,43,142,36
396,43,142,36
397,43,142,36
398,42,142,36
399,40,122,36
400,41,41,36
401,41,41,36
402,40,144,36
403,39,145,36
404,39,145,36
405,39,145,36
406,40,135,36
407,40,137,36
408,39,116,36
409,39,128,36
410,40,129,36
411,40,127,36
412,40,128,36
413,40,126,36
414,40,126,36
415,40,130,36
416,40,131,36
417,40,130,36
418,40,125,36
419,40,133,36
420,40,133,36
421,39,132,36
422,39,113,36
423,40,97,36
424,40,135,36
425,40,137,36
426,40,150,36
427,40,153,36
428,40,153,36
429,39,152,36
430,39,152,36
431,40,113,36
432,40,114,36
433,41,114,36
434,41,129,36
435,42,133,36
436,43,134,36
437,45,134,36
438,45,135,36
439,45,135,36
440,45,45,36
441,45,45,36
442,45,45,36
443,44,44,36
444,41,41,36
445,41,41,36
446,41,41,36
447,41,157,36
448,41,158,36
449,41,160,36
450,41,159,36
451,41,157,36
452,44,136,36
453,42,138,36
454,42,137,36
455,42,136,36
456,41,120,36
457,38,120,36
458,38,149,36
459,39,149,36
460,39,149,36
461,39,149,36
462,38,150,36
463,39,149,36
464,39,148,36
465,39,157,36
466,39,157,36
467,39,155,36
468,39,149,36
469,40,150,36
470,40,150,36
471,41,140,36
472,42,143,36
473,42,142,36
474,42,141,36
475,42,140,36
476,42,147,36
477,42,150,36
478,42,149,36
479,41,117,36
480,40,118,36
481,40,117,36
482,39,116,36
483,39,39,36
484,37,139,36
485,36,138,36
486,36,140,36
487,37,139,36
488,37,131,36
489,38,131,36
490,38,133,36
491,38,132,36
492,38,131,36
493,38,131,36
494,37,131,36
495,38,132,36
496,38,130,36
497,38,133,36
498,38,133,36
499,38,136,36
